Image_IR_#,Species_given_name,Species_code,Species_latin_name_or_taxa,Order,Familly,length_mm,width_mm,height_mm,mm/dd/yy,Local_hour,Tbody_C,Tleaf_C,Tbody-Tleaf
8375,Hoary plume moth (caterpillar),gcat,Oidaematophorus balsamorrhizae,Lepidoptera,Pterophoridae,12.975,2.3,1.435,6/20/2019,18:15,24.8,21.8,3
2740,Hoary plume moth (caterpillar),gcat,Oidaematophorus balsamorrhizae,Lepidoptera,Pterophoridae,12.975,2.3,1.435,6/20/2019,18:00,18.7,17.7,1
2766,Hoary plume moth (caterpillar),gcat,Oidaematophorus balsamorrhizae,Lepidoptera,Pterophoridae,12.975,2.3,1.435,6/20/2019,18:30,15.6,14.9,0.7
8456,Hoary plume moth (caterpillar),gcat,Oidaematophorus balsamorrhizae,Lepidoptera,Pterophoridae,12.975,2.3,1.435,6/21/2019,13:46,28.2,26.8,1.4
8457,Hoary plume moth (caterpillar),gcat,Oidaematophorus balsamorrhizae,Lepidoptera,Pterophoridae,12.975,2.3,1.435,6/21/2019,13:48,25.5,22.8,2.7
8471,Hoary plume moth (caterpillar),gcat,Oidaematophorus balsamorrhizae,Lepidoptera,Pterophoridae,12.975,2.3,1.435,6/21/2019,14:19,25,23.5,1.5
8476,Hoary plume moth (caterpillar),gcat,Oidaematophorus balsamorrhizae,Lepidoptera,Pterophoridae,12.975,2.3,1.435,6/21/2019,14:38,27.5,23.4,4.1
3178,Hoary plume moth (caterpillar),gcat,Oidaematophorus balsamorrhizae,Lepidoptera,Pterophoridae,12.975,2.3,1.435,6/21/2019,15:10,25.4,23.1,2.3
3180,Hoary plume moth (caterpillar),gcat,Oidaematophorus balsamorrhizae,Lepidoptera,Pterophoridae,12.975,2.3,1.435,6/21/2019,15:13,24.7,20.8,3.9
8455,Dung beetle,dbeet,Unidentified,Coleoptera,Scarabaeidae,7.255,na,3.066666667,6/21/2019,13:41,29.4,21.2,8.2
3151,Dung beetle,dbeet,Unidentified,Coleoptera,Scarabaeidae,7.255,na,3.066666667,6/21/2019,13:49,32.5,25.6,6.9
3167,Dung beetle,dbeet,Unidentified,Coleoptera,Scarabaeidae,7.255,na,3.066666667,6/21/2019,14:44,27.4,20.5,6.9
3168,Dung beetle,dbeet,Unidentified,Coleoptera,Scarabaeidae,7.255,na,3.066666667,6/21/2019,14:50,31.4,23.4,8
3903,Dung beetle,dbeet,Unidentified,Coleoptera,Scarabaeidae,7.255,na,3.066666667,6/24/2019,14:39,25,21.5,3.5
3999,Dung beetle,dbeet,Unidentified,Coleoptera,Scarabaeidae,7.255,na,3.066666667,6/24/2019,15:04,25.9,19.1,6.8
1883,Small fly,dip1,Unidentified,Diptera,Unidentified,3.5,na,1.4,6/26/2019,10:59,24.9,23.7,1.2
2356,Small fly,dip1,Unidentified,Diptera,Unidentified,3.5,na,1.4,6/27/2019,9:39,9.8,8.7,1.1
8468,Large click beetle,elatb,Unidentified,Coleoptera,Elateridae,10.2,na,1.8,6/21/2019,14:14,25.8,22.9,2.9
8469,Large click beetle,elatb,Unidentified,Coleoptera,Elateridae,10.2,na,1.8,6/21/2019,14:14,28.4,24.8,3.6
8481,Medium click beetle,elatb,Unidentified,Coleoptera,Elateridae,8.2,na,2.1,6/21/2019,14:53,33.1,28.9,4.2
8482,Medium click beetle,elatb,Unidentified,Coleoptera,Elateridae,8.2,na,2.1,6/21/2019,14:54,32.5,27.6,4.9
8456,Small click beetle,elats,Unidentified,Coleoptera,Elateridae,4.7,na,1,6/21/2019,13:46,27.4,24.9,2.5
8479,Small click beetle,elats,Unidentified,Coleoptera,Elateridae,4.5,na,1.1,6/21/2019,14:49,27.2,23.4,3.8
8380,Small fly,fly,Unidentified,Diptera,Unidentified,3.643333333,1.966666667,0.729,6/20/2019,18:29,15.3,13.9,1.4
3188,Small fly,fly,Unidentified,Diptera,Unidentified,2.8,na,0.7,6/21/2019,15:23,18.6,17.6,1
3701,Small fly,fly,Unidentified,Diptera,Unidentified,2.3,na,0.7,6/23/2019,9:47,15.3,15,0.3
3734,Small fly,fly,Unidentified,Diptera,Unidentified,2.3,na,0.7,6/24/2019,9:24,13.6,14.3,-0.7
