"","scientific_name.x","dispersal_km","source_dispersal","mean.hra.m2","source_hra","Mass_kg","Mass_source"
"85","Phrynosoma douglasii",NA,NA,NA,NA,NA,NA
"86","Pipilo chlorurus",NA,NA,NA,NA,NA,NA
"87","Piranga rubra",NA,NA,NA,NA,NA,NA
"88","Pituophis catenifer",NA,NA,NA,NA,NA,NA
"89","Plestiodon anthracinus",NA,NA,NA,NA,NA,NA
"90","Plestiodon laticeps",NA,NA,NA,NA,NA,NA
"91","Plethodon cylindraceus",NA,NA,NA,NA,NA,NA
"92","Plethodon dorsalis",NA,NA,NA,NA,NA,NA
"93","Plethodon dunni",NA,NA,NA,NA,NA,NA
"94","Plethodon electromorphus",NA,NA,NA,NA,NA,NA
"95","Plethodon glutinosus",0.0915,"Jenkins_et_al_2007",NA,NA,0.00995,""
"96","Plethodon hoffmani",NA,NA,NA,NA,NA,NA
"97","Plethodon kentucki",0.014,"Jenkins_et_al_2007",NA,NA,0.0079,""
"98","Plethodon richmondi",NA,NA,NA,NA,NA,NA
"99","Plethodon wehrlei",NA,NA,NA,NA,NA,NA
"100","Poecile carolinensis",35,"Tittler_2009",NA,NA,NA,""
"101","Pseudacris brachyphona",NA,NA,NA,NA,NA,NA
"102","Pseudacris feriarum",NA,NA,NA,NA,NA,NA
"103","Pseudacris kalmi",NA,NA,NA,NA,NA,NA
"104","Pseudotriton montanus",NA,NA,NA,NA,NA,NA
"105","Pseudotriton ruber",NA,NA,NA,NA,NA,NA
"106","Rallus crepitans",NA,NA,NA,NA,NA,NA
"107","Rana boylii",NA,NA,NA,NA,NA,NA
"108","Rana cascadae",NA,NA,NA,NA,NA,NA
"109","Regina grahamii",NA,NA,NA,NA,NA,NA
"110","Reithrodontomys humulis",NA,NA,NA,NA,NA,NA
"111","Reithrodontomys montanus",NA,NA,NA,NA,NA,NA
"112","Rynchops niger",NA,NA,NA,NA,NA,NA
"113","Sayornis nigricans",34.4,"Jenkins_et_al_2007","700","Bowman_2003",0.02,"Jenkins_etal_2007"
"114","Scaphiopus holbrookii",0.825,"Jenkins_et_al_2007","53420","Timm_et_al_2014",0.02046,"Jenkins_etal_2007"
"115","Sceloporus graciosus",NA,NA,NA,NA,NA,NA
"116","Sceloporus occidentalis",NA,NA,NA,NA,NA,NA
"117","Sceloporus undulatus",NA,NA,NA,NA,NA,NA
"118","Scincella lateralis",NA,NA,NA,NA,NA,NA
"119","Sciurus griseus",NA,"","3000","Harestad and Bunnel 1979",0.5,""
"120","Selasphorus calliope",NA,NA,"3000","Armstrong_1987",0.0028,"Hein_Gillooly_2011"
"121","Setophaga auduboni",NA,NA,NA,NA,NA,NA
"122","Setophaga dominica",NA,NA,NA,NA,NA,NA
"123","Setophaga occidentalis",NA,NA,NA,NA,NA,NA
"124","Siren intermedia",NA,NA,NA,NA,NA,NA
"125","Sorex longirostris",5.14,"Prugh_etal",NA,NA,0.004,""
"126","Sorex merriami",5.67,"Prugh_etal",NA,NA,0.006,""
"127","Sorex nanus",4.16,"Prugh_etal",NA,NA,0.003,""
"128","Sorex rohweri",NA,NA,NA,NA,NA,NA
"129","Sorex sonomae",NA,NA,NA,NA,NA,NA
"130","Spinus psaltria",NA,NA,NA,NA,NA,NA
"131","Sternula antillarum",NA,NA,NA,NA,NA,NA
"132","Sylvilagus audubonii",NA,NA,NA,NA,NA,NA
"133","Sylvilagus bachmani",0.352,"Jenkins_et_al_2007","2800","Harestad and Bunnel 1979",0.695,"Harestad_ Bunnel_1979"
"134","Sylvilagus transitionalis",NA,"","4600","Harestad and Bunnel 1979",1.191,"Harestad and Bunnel 1979"
"135","Tadarida brasiliensis",NA,NA,NA,NA,NA,NA
"136","Thalasseus maximus",NA,NA,NA,NA,NA,NA
"137","Thomomys idahoensis",NA,NA,NA,NA,NA,NA
"138","Thomomys mazama",NA,NA,NA,NA,NA,NA
"139","Tyrannus vociferans",NA,NA,NA,NA,NA,NA
"140","Urocitellus elegans",NA,NA,NA,NA,NA,NA
"141","Uta stansburiana",NA,NA,NA,NA,NA,NA
"142","Vireo bellii",4,"Kus_et_al_2020","11735.9","Schoener_1968",0.01,"Schoener_1968"
"143","Virginia valeriae",NA,NA,NA,NA,NA,NA
