"initial_name","genus","species","scientificName","kingdom","phylum","class","order","family","db","db_code","MeasureType","Measurement","Units","Field","Code","MeasurementSource"
"Corynorhinus rafinesquii","Corynorhinus","rafinesquii","Corynorhinus rafinesquii","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432491","AgeAtMaturity",210.45,"days","SexualMaturityAge_d","AgeAtMaturity","Pantheria - 2005"
"Corynorhinus rafinesquii","Corynorhinus","rafinesquii","Corynorhinus rafinesquii","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432491","GenerationLength",1289.8028,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Corynorhinus rafinesquii","Corynorhinus","rafinesquii","Corynorhinus rafinesquii","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432491","AgeAtMaturity",182,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Corynorhinus rafinesquii","Corynorhinus","rafinesquii","Corynorhinus rafinesquii","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432491","AgeAtMaturity",182,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Corynorhinus rafinesquii","Corynorhinus","rafinesquii","Corynorhinus rafinesquii","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432491","AgeAtMaturity",210.45,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Crotalus horridus","Crotalus","horridus","Crotalus horridus","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:2444468","AgeAtMaturity",1825,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Crotalus horridus","Crotalus","horridus","Crotalus horridus","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:2444468","AgeAtMaturity",2555,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Crotalus horridus","Crotalus","horridus","Crotalus horridus","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:2444468","AgeAtMaturity",2555.875,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Crotalus horridus","Crotalus","horridus","Crotalus horridus","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:2444468","AgeAtMaturity",1825,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Cryptobranchus alleganiensis","Cryptobranchus","alleganiensis","Cryptobranchus alleganiensis","Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","gbif","GBIF:2432031","AgeAtMaturity",3,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Cryptobranchus alleganiensis","Cryptobranchus","alleganiensis","Cryptobranchus alleganiensis","Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","gbif","GBIF:2432031","AgeAtMaturity",6,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Cryptobranchus alleganiensis","Cryptobranchus","alleganiensis","Cryptobranchus alleganiensis","Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","gbif","GBIF:2432031","AgeAtMaturity",1825,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Cryptobranchus alleganiensis","Cryptobranchus","alleganiensis","Cryptobranchus alleganiensis","Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","gbif","GBIF:2432031","AgeAtMaturity",1825,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Desmognathus monticola","Desmognathus","monticola","Desmognathus monticola","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431233","AgeAtMaturity",3.5,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Desmognathus monticola","Desmognathus","monticola","Desmognathus monticola","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431233","AgeAtMaturity",7,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Desmognathus monticola","Desmognathus","monticola","Desmognathus monticola","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431233","AgeAtMaturity",1277,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Desmognathus monticola","Desmognathus","monticola","Desmognathus monticola","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431233","AgeAtMaturity",1642,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Elgaria multicarinata","Elgaria","multicarinata","Elgaria multicarinata","Animalia","Chordata","Squamata",NA,"Anguidae","gbif","GBIF:2468262","AgeAtMaturity",18,"months","youngest.age.at.first.breeding..months.","oldest.age.at.first.breeding..months.",""
"Elgaria multicarinata","Elgaria","multicarinata","Elgaria multicarinata","Animalia","Chordata","Squamata",NA,"Anguidae","gbif","GBIF:2468262","AgeAtMaturity",18,"months","oldest.age.at.first.breeding..months.","MinAgeAtMaturity",""
"Eurycea cirrigera","Eurycea","cirrigera","Eurycea cirrigera","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:5218366","AgeAtMaturity",2,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Eurycea cirrigera","Eurycea","cirrigera","Eurycea cirrigera","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:5218366","AgeAtMaturity",4,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Eurycea longicauda","Eurycea","longicauda","Eurycea longicauda","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:5218348","AgeAtMaturity",1,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Eurycea longicauda","Eurycea","longicauda","Eurycea longicauda","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:5218348","AgeAtMaturity",2,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Eurycea lucifuga","Eurycea","lucifuga","Eurycea lucifuga","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:5218351","AgeAtMaturity",3,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Eurycea lucifuga","Eurycea","lucifuga","Eurycea lucifuga","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:5218351","AgeAtMaturity",3,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Eurycea lucifuga","Eurycea","lucifuga","Eurycea lucifuga","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:5218351","AgeAtMaturity",1095,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Eurycea lucifuga","Eurycea","lucifuga","Eurycea lucifuga","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:5218351","AgeAtMaturity",1095,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Geothlypis formosa","Geothlypis","formosa","Geothlypis formosa","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:6093586","AgeAtMaturity",364.359,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Gymnorhinus cyanocephalus","Gymnorhinus","cyanocephalus","Gymnorhinus cyanocephalus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:5229498","AgeAtMaturity",365,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Gymnorhinus cyanocephalus","Gymnorhinus","cyanocephalus","Gymnorhinus cyanocephalus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:5229498","AgeAtMaturity",365,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Gymnorhinus cyanocephalus","Gymnorhinus","cyanocephalus","Gymnorhinus cyanocephalus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:5229498","AgeAtMaturity",545.202,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Gymnorhinus cyanocephalus","Gymnorhinus","cyanocephalus","Gymnorhinus cyanocephalus","Animalia","Chordata","Aves","Passeriformes","Corvidae","gbif","GBIF:5229498","AgeAtMaturity",365,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Lampropeltis gentilis","Lampropeltis","gentilis","Lampropeltis gentilis","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:9498445",NA,NA,NA,NA,NA,NA
"Lampropeltis calligaster","Lampropeltis","calligaster","Lampropeltis calligaster","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5224464","AgeAtMaturity",1095,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Lampropeltis calligaster","Lampropeltis","calligaster","Lampropeltis calligaster","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5224464","AgeAtMaturity",1095,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Lampropeltis calligaster","Lampropeltis","calligaster","Lampropeltis calligaster","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5224464","AgeAtMaturity",1095,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Lampropeltis calligaster","Lampropeltis","calligaster","Lampropeltis calligaster","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5224464","AgeAtMaturity",1095,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Lampropeltis nigra","Lampropeltis","nigra","Lampropeltis nigra","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:7721444","AgeAtMaturity",1095,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Lampropeltis nigra","Lampropeltis","nigra","Lampropeltis nigra","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:7721444","AgeAtMaturity",1095,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Lepus californicus","Lepus","californicus","Lepus californicus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436801","AgeAtMaturity",263.07,"days","SexualMaturityAge_d","AgeAtMaturity","Pantheria - 2005"
"Lepus californicus","Lepus","californicus","Lepus californicus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436801","GenerationLength",1226.50635,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Lepus californicus","Lepus","californicus","Lepus californicus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436801","AgeAtMaturity",243,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Lepus californicus","Lepus","californicus","Lepus californicus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436801","AgeAtMaturity",243.427128,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Limnothlypis swainsonii","Limnothlypis","swainsonii","Limnothlypis swainsonii","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:2489636","AgeAtMaturity",365,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Limnothlypis swainsonii","Limnothlypis","swainsonii","Limnothlypis swainsonii","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:2489636","AgeAtMaturity",365,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Limnothlypis swainsonii","Limnothlypis","swainsonii","Limnothlypis swainsonii","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:2489636","AgeAtMaturity",364.234,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Limnothlypis swainsonii","Limnothlypis","swainsonii","Limnothlypis swainsonii","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:2489636","AgeAtMaturity",365,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Lithobates areolatus","Lithobates","areolatus","Lithobates areolatus","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2427133","AgeAtMaturity",2,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Lithobates areolatus","Lithobates","areolatus","Lithobates areolatus","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2427133","AgeAtMaturity",5,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Lithobates blairi","Lithobates","blairi","Lithobates blairi","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2427062",NA,NA,NA,NA,NA,NA
"Lithobates sphenocephalus","Lithobates","sphenocephalus","Lithobates sphenocephalus","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2427093",NA,NA,NA,NA,NA,NA
"Malaclemys terrapin","Malaclemys","terrapin","Malaclemys terrapin","Animalia","Chordata","Testudines",NA,"Emydidae","gbif","GBIF:2443212","AgeAtMaturity",910,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Malaclemys terrapin","Malaclemys","terrapin","Malaclemys terrapin","Animalia","Chordata","Testudines",NA,"Emydidae","gbif","GBIF:2443212","AgeAtMaturity",2190,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Malaclemys terrapin","Malaclemys","terrapin","Malaclemys terrapin","Animalia","Chordata","Testudines",NA,"Emydidae","gbif","GBIF:2443212","AgeAtMaturity",2190,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Malaclemys terrapin","Malaclemys","terrapin","Malaclemys terrapin","Animalia","Chordata","Testudines",NA,"Emydidae","gbif","GBIF:2443212","AgeAtMaturity",910,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Marmota olympus","Marmota","olympus","Marmota olympus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:2437374","AgeAtMaturity",1141.75,"days","SexualMaturityAge_d","AgeAtMaturity","Pantheria - 2005"
"Marmota olympus","Marmota","olympus","Marmota olympus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:2437374","GenerationLength",1976.82975,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Marmota olympus","Marmota","olympus","Marmota olympus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:2437374","AgeAtMaturity",1057.851,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Masticophis taeniatus","Masticophis","taeniatus","Masticophis taeniatus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:8367811",NA,NA,NA,NA,NA,NA
"Melanerpes formicivorus","Melanerpes","formicivorus","Melanerpes formicivorus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:2478133","AgeAtMaturity",766,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Melanerpes formicivorus","Melanerpes","formicivorus","Melanerpes formicivorus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:2478133","AgeAtMaturity",694,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Melanerpes formicivorus","Melanerpes","formicivorus","Melanerpes formicivorus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:2478133","AgeAtMaturity",694,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Melanerpes formicivorus","Melanerpes","formicivorus","Melanerpes formicivorus","Animalia","Chordata","Aves","Piciformes","Picidae","gbif","GBIF:2478133","AgeAtMaturity",766,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Myiarchus cinerascens","Myiarchus","cinerascens","Myiarchus cinerascens","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif","GBIF:2483600","AgeAtMaturity",363.468,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Myodes californicus","Myodes","californicus","Myodes californicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:5706763","GenerationLength",433.3599222,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Myodes californicus","Myodes","californicus","Myodes californicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:5706763","AgeAtMaturity",121.744,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Neotoma fuscipes","Neotoma","fuscipes","Neotoma fuscipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2438455","GenerationLength",857.0894875,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Neotoma fuscipes","Neotoma","fuscipes","Neotoma fuscipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2438455","AgeAtMaturity",182.616,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Nerodia erythrogaster","Nerodia","erythrogaster","Nerodia erythrogaster","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5223362",NA,NA,NA,NA,NA,NA
"Nyctanassa violacea","Nyctanassa","violacea","Nyctanassa violacea","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","gbif","GBIF:2480953",NA,NA,NA,NA,NA,NA
"Nycticeius humeralis","Nycticeius","humeralis","Nycticeius humeralis","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432314","GenerationLength",2055.239876,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Nycticeius humeralis","Nycticeius","humeralis","Nycticeius humeralis","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432314","AgeAtMaturity",365,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Nycticeius humeralis","Nycticeius","humeralis","Nycticeius humeralis","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432314","AgeAtMaturity",456,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Ochrotomys nuttalli","Ochrotomys","nuttalli","Ochrotomys nuttalli","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2438565","GenerationLength",589.3882991,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Opheodrys aestivus","Opheodrys","aestivus","Opheodrys aestivus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:8984671","AgeAtMaturity",730,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Opheodrys aestivus","Opheodrys","aestivus","Opheodrys aestivus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:8984671","AgeAtMaturity",730,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Opheodrys aestivus","Opheodrys","aestivus","Opheodrys aestivus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:8984671","AgeAtMaturity",730,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Opheodrys aestivus","Opheodrys","aestivus","Opheodrys aestivus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:8984671","AgeAtMaturity",684.62,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Ophisaurus attenuatus","Ophisaurus","attenuatus","Ophisaurus attenuatus","Animalia","Chordata","Squamata",NA,"Anguidae","gbif","GBIF:5226648","AgeAtMaturity",20,"months","youngest.age.at.first.breeding..months.","oldest.age.at.first.breeding..months.",""
