"","Species","kingdom","phylum","class","order","family","genus","species"
"113","Lampropeltis getula","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis getula"
"114","Lampropeltis holbrooki","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis holbrooki"
"115","Lampropeltis nigra","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis nigra"
"116","Lampropeltis zonata","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis zonata"
"120","Leiothlypis virginiae","Animalia","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis","Leiothlypis virginiae"
"122","Lepus californicus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus californicus"
"123","Limnothlypis swainsonii","Animalia","Chordata","Aves","Passeriformes","Parulidae","Limnothlypis","Limnothlypis swainsonii"
"124","Lithobates areolatus","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates areolatus"
"125","Lithobates blairi","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates blairi"
"126","Lithobates capito","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates capito"
"129","Lithobates sphenocephalus","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates sphenocephalus"
"131","Lithobates virgatipes","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates virgatipes"
"133","Malaclemys terrapin","Animalia","Chordata","Reptilia","Testudines","Emydidae","Malaclemys","Malaclemys terrapin"
"134","Marmota olympus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Marmota","Marmota olympus"
"135","Masticophis flagellum","Animalia","Chordata","Reptilia","Squamata","Colubridae","Masticophis","Masticophis flagellum"
"136","Masticophis lateralis","Animalia","Chordata","Reptilia","Squamata","Colubridae","Masticophis","Masticophis lateralis"
"137","Masticophis taeniatus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Masticophis","Masticophis taeniatus"
"138","Melanerpes formicivorus","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","Melanerpes formicivorus"
"140","Microdipodops megacephalus","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Microdipodops","Microdipodops megacephalus"
"141","Microtus californicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus californicus"
"143","Myiarchus cinerascens","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","Myiarchus cinerascens"
"144","Myodes californicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Myodes","Myodes californicus"
"145","Myotis austroriparius","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis austroriparius"
"146","Necturus lewisi","Animalia","Chordata","Amphibia","Caudata","Proteidae","Necturus","Necturus lewisi"
"148","Necturus punctatus","Animalia","Chordata","Amphibia","Caudata","Proteidae","Necturus","Necturus punctatus"
"149","Neotamias dorsalis","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Neotamis","Neotamias dorsalis"
"150","Neotamias senex","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Neotamis","Neotamias senex"
"151","Neotamias siskiyou","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Neotamis","Neotamias siskiyou"
"152","Neotamias sonomae","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Neotamis","Neotamias sonomae"
"153","Neotamias umbrinus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Neotamis","Neotamias umbrinus"
"154","Neotoma floridana","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma floridana"
"155","Neotoma fuscipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma fuscipes"
"156","Neotoma lepida","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma lepida"
"157","Nerodia cyclopion","Animalia","Chordata","Reptilia","Squamata","Colubridae","Nerodia","Nerodia cyclopion"
"158","Nerodia erythrogaster","Animalia","Chordata","Reptilia","Squamata","Colubridae","Nerodia","Nerodia erythrogaster"
"159","Nerodia fasciata","Animalia","Chordata","Reptilia","Squamata","Colubridae","Nerodia","Nerodia fasciata"
"160","Nerodia rhombifer","Animalia","Chordata","Reptilia","Squamata","Colubridae","Nerodia","Nerodia rhombifer"
