"initial_name","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Lithobates sphenocephalus","Lithobates sphenocephalus","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2427093"
"Scaphiopus holbrookii","Scaphiopus holbrookii","Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","gbif","GBIF:2429796"
"Ambystoma barbouri","Ambystoma barbouri","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432017"
"Ambystoma opacum","Ambystoma opacum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","gbif","GBIF:2432006"
"Cryptobranchus alleganiensis","Cryptobranchus alleganiensis","Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","gbif","GBIF:2432031"
"Batrachoseps wrighti","Batrachoseps wrighti","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431771"
"Desmognathus monticola","Desmognathus monticola","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431233"
"Eurycea cirrigera","Eurycea cirrigera","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:5218366"
"Eurycea longicauda","Eurycea longicauda","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:5218348"
"Eurycea lucifuga","Eurycea lucifuga","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:5218351"
"Plethodon cylindraceus","Plethodon cylindraceus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431489"
"Plethodon dorsalis","Plethodon dorsalis","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431480"
"Plethodon dunni","Plethodon dunni","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431542"
"Plethodon electromorphus","Plethodon electromorphus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431543"
"Plethodon glutinosus","Plethodon glutinosus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431539"
"Plethodon hoffmani","Plethodon hoffmani","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431513"
"Plethodon kentucki","Plethodon kentucki","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431518"
"Plethodon richmondi","Plethodon richmondi","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431521"
"Plethodon wehrlei","Plethodon wehrlei","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431487"
"Pseudotriton montanus","Pseudotriton montanus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431466"
"Pseudotriton ruber","Pseudotriton ruber","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431459"
"Siren intermedia","Siren intermedia","Animalia","Chordata","Amphibia","Caudata","Sirenidae","gbif","GBIF:2432063"
"Pseudacris kalmi","Pseudacris kalmi","Animalia","Chordata","Amphibia","Anura","Hylidae","gbif","GBIF:2428125"
"Pantherophis guttatus","Pantherophis guttatus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:2455615"
"Lampropeltis gentilis","Lampropeltis gentilis","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:9498445"
"Virginia valeriae","Virginia valeriae","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5224262"
"Lampropeltis calligaster","Lampropeltis calligaster","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5224464"
"Crotalus horridus","Crotalus horridus","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:2444468"
"Carphophis amoenus","Carphophis amoenus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:2457092"
"Chelonia mydas","Chelonia mydas","Animalia","Chordata","Testudines",NA,"Cheloniidae","gbif","GBIF:2442225"
"Pantherophis alleghaniensis","Pantherophis alleghaniensis","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:7453543"
"Sceloporus occidentalis","Sceloporus occidentalis","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451234"
"Masticophis taeniatus","Masticophis taeniatus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:8367811"
"Regina grahamii","Regina grahamii","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5222697"
"Malaclemys terrapin","Malaclemys terrapin","Animalia","Chordata","Testudines",NA,"Emydidae","gbif","GBIF:2443212"
"Sceloporus undulatus","Sceloporus undulatus","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451347"
"Opheodrys aestivus","Opheodrys aestivus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:8984671"
"Nerodia erythrogaster","Nerodia erythrogaster","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5223362"
"Elgaria multicarinata","Elgaria multicarinata","Animalia","Chordata","Squamata",NA,"Anguidae","gbif","GBIF:2468262"
"Agkistrodon contortrix","Agkistrodon contortrix","Animalia","Chordata","Squamata",NA,"Viperidae","gbif","GBIF:9215881"
"Pantherophis ramspotti","Pantherophis ramspotti","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:7501483"
"Sceloporus graciosus","Sceloporus graciosus","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451223"
"Uta stansburiana","Uta stansburiana","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451029"
"Phrynosoma douglasii","Phrynosoma douglasii","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451089"
"Plestiodon laticeps","Plestiodon laticeps","Animalia","Chordata","Squamata",NA,"Scincidae","gbif","GBIF:5789628"
"Pituophis catenifer","Pituophis catenifer","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:2453826"
"Scincella lateralis","Scincella lateralis","Animalia","Chordata","Squamata",NA,"Scincidae","gbif","GBIF:2461434"
"Plestiodon anthracinus","Plestiodon anthracinus","Animalia","Chordata","Squamata",NA,"Scincidae","gbif","GBIF:4287450"
"Hypsiglena torquata","Hypsiglena torquata","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:9230860"
"Lampropeltis nigra","Lampropeltis nigra","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:7721444"
"Ophisaurus attenuatus","Ophisaurus attenuatus","Animalia","Chordata","Squamata",NA,"Anguidae","gbif","GBIF:5226648"
"Aspidoscelis sexlineata","Aspidoscelis sexlineatus","Animalia","Chordata","Squamata",NA,"Teiidae","gbif","GBIF:2472425"
